correct,cue,flanker_location,flanker_middle_direction,response_time,flanker_type,worker_id,rt_nan
1.0,double,down,right,0.652,congruent,s192,0
1.0,spatial,down,left,0.384,incongruent,s192,0
1.0,spatial,down,right,0.415,congruent,s192,0
1.0,spatial,down,left,0.345,congruent,s192,0
1.0,spatial,up,right,0.403,incongruent,s192,0
1.0,double,down,right,0.427,congruent,s192,0
1.0,spatial,up,right,0.468,incongruent,s192,0
1.0,spatial,down,right,0.415,congruent,s192,0
1.0,spatial,up,right,0.237,congruent,s192,0
1.0,spatial,up,left,0.445,congruent,s192,0
1.0,double,down,right,0.486,incongruent,s192,0
1.0,double,up,left,0.464,congruent,s192,0
1.0,spatial,up,left,0.447,incongruent,s192,0
1.0,double,up,left,0.501,congruent,s192,0
1.0,spatial,down,left,0.421,incongruent,s192,0
1.0,double,up,left,0.423,congruent,s192,0
1.0,double,up,right,0.528,incongruent,s192,0
1.0,double,down,right,0.611,incongruent,s192,0
1.0,spatial,down,left,0.394,congruent,s192,0
1.0,spatial,up,right,0.43,congruent,s192,0
1.0,double,up,right,0.405,congruent,s192,0
1.0,double,down,left,0.439,congruent,s192,0
1.0,spatial,up,left,0.487,incongruent,s192,0
1.0,spatial,down,left,0.386,congruent,s192,0
1.0,double,up,right,0.481,incongruent,s192,0
1.0,spatial,up,left,0.459,incongruent,s192,0
1.0,double,up,right,0.663,incongruent,s192,0
1.0,spatial,down,right,0.441,congruent,s192,0
1.0,double,up,right,0.442,congruent,s192,0
0.0,double,down,right,0.459,incongruent,s192,0
1.0,spatial,up,right,0.432,congruent,s192,0
1.0,double,down,left,0.51,congruent,s192,0
1.0,double,up,right,0.371,congruent,s192,0
1.0,spatial,down,right,0.436,incongruent,s192,0
1.0,spatial,up,right,0.36,congruent,s192,0
1.0,double,down,right,0.475,congruent,s192,0
1.0,spatial,down,right,0.339,congruent,s192,0
1.0,spatial,up,right,0.373,congruent,s192,0
1.0,spatial,down,left,0.468,incongruent,s192,0
1.0,spatial,down,right,0.445,incongruent,s192,0
1.0,spatial,up,right,0.416,incongruent,s192,0
1.0,spatial,up,right,0.369,incongruent,s192,0
0.0,double,up,left,0.44,incongruent,s192,0
1.0,double,up,right,0.507,incongruent,s192,0
1.0,spatial,down,left,0.87,incongruent,s192,0
1.0,spatial,up,right,0.432,incongruent,s192,0
1.0,spatial,up,right,0.311,incongruent,s192,0
1.0,spatial,down,left,0.452,congruent,s192,0
1.0,double,down,right,0.656,congruent,s192,0
1.0,double,down,left,0.527,incongruent,s192,0
1.0,spatial,up,right,0.401,congruent,s192,0
1.0,spatial,up,right,0.33,congruent,s192,0
1.0,spatial,down,left,0.355,congruent,s192,0
1.0,spatial,down,right,0.563,incongruent,s192,0
1.0,double,down,left,0.649,congruent,s192,0
1.0,spatial,down,right,0.439,congruent,s192,0
1.0,double,up,left,0.671,incongruent,s192,0
1.0,spatial,up,left,0.399,incongruent,s192,0
1.0,double,up,right,0.52,incongruent,s192,0
1.0,spatial,up,right,0.404,congruent,s192,0
1.0,double,up,left,0.509,congruent,s234,0
1.0,double,up,left,0.498,incongruent,s234,0
1.0,spatial,up,right,0.518,congruent,s234,0
1.0,double,up,right,0.823,congruent,s234,0
1.0,double,up,left,0.429,congruent,s234,0
1.0,spatial,down,left,0.649,incongruent,s234,0
1.0,spatial,down,right,0.486,congruent,s234,0
1.0,double,up,right,0.58,congruent,s234,0
1.0,spatial,down,left,0.513,congruent,s234,0
1.0,spatial,down,left,0.493,congruent,s234,0
1.0,spatial,up,left,0.541,incongruent,s234,0
1.0,spatial,up,right,0.56,incongruent,s234,0
1.0,spatial,up,right,0.483,incongruent,s234,0
1.0,spatial,down,right,0.577,incongruent,s234,0
1.0,double,up,right,0.629,incongruent,s234,0
1.0,double,down,left,0.64,incongruent,s234,0
1.0,spatial,down,right,0.49,incongruent,s234,0
1.0,spatial,up,left,0.525,incongruent,s234,0
1.0,spatial,down,right,0.41,incongruent,s234,0
1.0,spatial,up,right,0.528,congruent,s234,0
1.0,double,down,left,0.411,congruent,s234,0
1.0,double,up,right,0.675,incongruent,s234,0
1.0,spatial,down,left,0.441,congruent,s234,0
1.0,spatial,down,right,0.485,congruent,s234,0
1.0,spatial,down,left,0.5,congruent,s234,0
1.0,spatial,up,left,0.821,incongruent,s234,0
1.0,double,down,left,0.691,congruent,s234,0
1.0,spatial,down,left,0.51,congruent,s234,0
1.0,double,up,left,0.67,incongruent,s234,0
1.0,spatial,down,left,0.715,incongruent,s234,0
1.0,double,down,right,0.583,incongruent,s234,0
1.0,spatial,down,right,0.449,congruent,s234,0
1.0,spatial,up,left,0.518,congruent,s234,0
1.0,double,up,left,0.411,incongruent,s234,0
1.0,spatial,down,right,0.498,congruent,s234,0
1.0,spatial,down,left,0.522,congruent,s234,0
1.0,double,down,left,0.643,incongruent,s234,0
1.0,double,up,left,0.793,congruent,s234,0
1.0,double,down,left,0.56,incongruent,s234,0
1.0,spatial,down,left,0.568,incongruent,s234,0
1.0,double,down,right,0.542,incongruent,s234,0
1.0,spatial,up,left,0.604,incongruent,s234,0
1.0,double,down,right,0.591,congruent,s234,0
1.0,spatial,up,right,0.626,incongruent,s234,0
1.0,spatial,up,left,0.481,incongruent,s234,0
1.0,spatial,down,left,0.411,incongruent,s234,0
1.0,double,up,left,0.869,incongruent,s234,0
1.0,double,down,right,0.691,congruent,s234,0
1.0,spatial,down,right,0.47,congruent,s234,0
1.0,double,up,left,0.52,incongruent,s234,0
1.0,spatial,up,right,0.458,congruent,s234,0
1.0,double,down,right,0.588,congruent,s234,0
