choice,large_amount,later_delay,small_amount,response_time,rt_nan,worker_id
smaller_sooner,42.0,145.0,20.0,1.078,0,s172
smaller_sooner,36.0,114.0,20.0,0.813,0,s172
larger_later,58.0,55.0,20.0,1.141,0,s172
larger_later,81.0,58.0,20.0,0.989,0,s172
smaller_sooner,32.0,111.0,20.0,1.004,0,s172
smaller_sooner,25.0,141.0,20.0,0.982,0,s172
larger_later,67.0,23.0,20.0,0.786,0,s172
smaller_sooner,77.0,161.0,20.0,0.734,0,s172
smaller_sooner,55.0,163.0,20.0,0.999,0,s172
smaller_sooner,40.0,159.0,20.0,0.774,0,s172
smaller_sooner,76.0,161.0,20.0,0.89,0,s172
smaller_sooner,48.0,128.0,20.0,0.901,0,s172
smaller_sooner,39.0,95.0,20.0,0.814,0,s172
smaller_sooner,83.0,105.0,20.0,0.801,0,s172
larger_later,67.0,41.0,20.0,1.01,0,s172
smaller_sooner,56.0,172.0,20.0,1.335,0,s172
smaller_sooner,28.0,123.0,20.0,0.843,0,s172
smaller_sooner,50.0,129.0,20.0,0.945,0,s172
smaller_sooner,23.0,61.0,20.0,1.117,0,s172
smaller_sooner,79.0,92.0,20.0,1.162,0,s172
smaller_sooner,61.0,141.0,20.0,0.863,0,s172
larger_later,43.0,38.0,20.0,0.932,0,s172
smaller_sooner,66.0,145.0,20.0,0.7,0,s172
larger_later,30.0,23.0,20.0,0.787,0,s172
smaller_sooner,32.0,57.0,20.0,1.042,0,s172
smaller_sooner,27.0,91.0,20.0,1.12,0,s172
smaller_sooner,43.0,120.0,20.0,0.95,0,s172
larger_later,75.0,60.0,20.0,0.918,0,s172
smaller_sooner,34.0,176.0,20.0,0.783,0,s172
smaller_sooner,24.0,38.0,20.0,1.213,0,s172
larger_later,82.0,74.0,20.0,0.828,0,s172
larger_later,58.0,53.0,20.0,1.121,0,s172
larger_later,54.0,23.0,20.0,1.092,0,s172
smaller_sooner,41.0,55.0,20.0,1.04,0,s172
smaller_sooner,77.0,142.0,20.0,0.962,0,s172
smaller_sooner,25.0,108.0,20.0,0.819,0,s172
smaller_sooner,33.0,163.0,20.0,0.814,0,s172
smaller_sooner,29.0,75.0,20.0,0.853,0,s172
smaller_sooner,45.0,157.0,20.0,0.805,0,s172
smaller_sooner,31.0,74.0,20.0,0.844,0,s172
larger_later,80.0,39.0,20.0,0.91,0,s172
larger_later,22.0,21.0,20.0,1.11,0,s172
smaller_sooner,52.0,139.0,20.0,0.863,0,s172
smaller_sooner,54.0,126.0,20.0,0.923,0,s172
