model_name,test_fold,val_fold,participant_emb_dim,hyper_hidden_dim,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
HyperRNN,4,0,2,4,4,400,0.005,50,0.38572026576314655,0.8151415675010258,0.6545161329500128,0.8169544256152268,4246,628,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_4hyperh_4hidden.pt
HyperRNN,0,1,2,4,8,400,0.005,50,0.39686278785978046,0.8260957382347001,0.6628717398925873,0.8226244976144627,4309,642,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_4hyperh_8hidden.pt
HyperRNN,1,2,2,4,8,400,0.005,50,0.39859045829091755,0.8191230207064556,0.6666250028407154,0.8152091528224974,4230,696,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_4hyperh_8hidden.pt
HyperRNN,2,3,2,4,8,400,0.005,50,0.39227804115840365,0.8186074918566775,0.6269478609477277,0.8189972634338456,4429,483,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_4hyperh_8hidden.pt
HyperRNN,3,4,2,4,8,400,0.005,50,0.4100841624396188,0.8282271241830066,0.6663022208102527,0.823078716925271,4260,636,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_4hyperh_8hidden.pt
HyperRNN,4,0,2,4,8,400,0.005,50,0.3903615432126181,0.8030365203118588,0.6324217035326449,0.8215070804341181,4271,603,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_4hyperh_8hidden.pt
HyperRNN,0,1,2,4,16,400,0.005,50,0.39982218401772635,0.8240759442536861,0.6431778457504915,0.8193316176433229,4397,554,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_4hyperh_16hidden.pt
HyperRNN,1,2,2,4,16,400,0.005,50,0.4001537987164089,0.8282582216808769,0.6784922007065952,0.8157640600428593,4241,685,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_4hyperh_16hidden.pt
HyperRNN,2,3,2,4,16,400,0.005,50,0.3892667591571808,0.8220684039087948,0.6421899390831494,0.8154388192806827,4374,538,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_4hyperh_16hidden.pt
HyperRNN,3,4,2,4,16,400,0.005,50,0.4101282273020063,0.8220996732026143,0.6586601668694929,0.8266157179072081,4250,646,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_4hyperh_16hidden.pt
HyperRNN,4,0,2,4,16,400,0.005,50,0.3872911376612527,0.8100123102174805,0.6262720999442568,0.8101730321132196,4367,507,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_4hyperh_16hidden.pt
HyperRNN,0,1,2,4,32,400,0.005,50,0.40828665665217806,0.8210462532821652,0.6439148472392295,0.8164162572213951,4368,583,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_4hyperh_32hidden.pt
HyperRNN,1,2,2,4,32,400,0.005,50,0.4044520046029772,0.821153065367438,0.6374249458016474,0.8090989300679549,4410,516,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_4hyperh_32hidden.pt
HyperRNN,2,3,2,4,32,400,0.005,50,0.3998787147658212,0.8139250814332247,0.6167394702242026,0.8112946167747873,4446,466,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_4hyperh_32hidden.pt
HyperRNN,3,4,2,4,32,400,0.005,50,0.42495975324085783,0.8233251633986928,0.6182931194996775,0.8129827304399686,4472,424,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_4hyperh_32hidden.pt
HyperRNN,4,0,2,4,32,400,0.005,50,0.3941957099097116,0.8063192449733279,0.6403323378531882,0.8050050699343596,4253,621,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_4hyperh_32hidden.pt
HyperRNN,0,1,2,4,64,400,0.005,50,0.398025780916214,0.8283175116138154,0.6394379633252206,0.8208423309672733,4452,499,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_4hyperh_64hidden.pt
HyperRNN,1,2,2,4,64,400,0.005,50,0.4052991654191698,0.8183110028420625,0.6359882305726907,0.808505938531164,4394,532,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_4hyperh_64hidden.pt
HyperRNN,2,3,2,4,64,400,0.005,50,0.3967744750635965,0.8139250814332247,0.6058567762806716,0.8143159896389892,4506,406,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_4hyperh_64hidden.pt
HyperRNN,3,4,2,4,64,400,0.005,50,0.4257021333490099,0.8198529411764706,0.6290703783902108,0.8100382193689346,4387,509,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_4hyperh_64hidden.pt
HyperRNN,4,0,2,4,64,400,0.005,50,0.3900832491261618,0.8034468608945424,0.61387127100813,0.8068755299512785,4383,491,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_4hyperh_64hidden.pt
HyperRNN,0,1,2,8,2,400,0.005,50,0.4090333410671779,0.822460109068875,0.6323875443953844,0.8109937960784712,4441,510,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_8hyperh_2hidden.pt
HyperRNN,1,2,2,8,2,400,0.005,50,0.41208984170641216,0.8207470564352416,0.6411132557645295,0.8030945941997463,4386,540,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_8hyperh_2hidden.pt
HyperRNN,2,3,2,8,2,400,0.005,50,0.38860160538128447,0.822271986970684,0.6481224451904749,0.8151063345653936,4343,569,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_8hyperh_2hidden.pt
HyperRNN,3,4,2,8,2,400,0.005,50,0.422442295721599,0.821078431372549,0.6454526334343695,0.804476639544893,4311,585,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_8hyperh_2hidden.pt
