Subnum,trial,RT,choice,outcome,missed
3,84,0.481,1.0,200,0
3,85,0.642,1.0,200,0
3,86,0.43,1.0,200,0
3,87,0.462,1.0,-1050,0
3,88,0.337,1.0,200,0
3,89,0.3,1.0,200,0
3,90,0.358,1.0,200,0
3,91,1.2,1.0,200,0
3,92,0.874,1.0,-1050,0
3,93,1.16,1.0,200,0
3,94,0.91,1.0,200,0
3,95,0.989,1.0,200,0
3,96,0.365,1.0,200,0
3,97,0.42,2.0,100,0
3,98,0.311,2.0,100,0
3,99,0.951,2.0,100,0
3,100,0.536,1.0,-1050,0
4,1,1.24,1.0,200,0
4,2,0.288,2.0,100,0
4,3,0.24,3.0,-200,0
4,4,0.267,2.0,100,0
4,5,0.235,1.0,200,0
4,6,0.421,2.0,100,0
4,7,0.515,2.0,100,0
4,8,0.264,3.0,-200,0
4,9,0.348,1.0,200,0
4,10,0.3,4.0,-100,0
4,11,0.286,2.0,-650,0
4,12,0.333,1.0,200,0
4,13,0.366,1.0,-1050,0
4,14,0.547,2.0,100,0
4,15,0.356,3.0,-200,0
4,16,0.34,2.0,100,0
4,17,0.439,4.0,-100,0
4,18,0.505,1.0,200,0
4,19,0.249,1.0,200,0
4,20,0.352,1.0,200,0
4,21,0.299,1.0,200,0
4,22,0.444,1.0,-1050,0
4,23,0.616,2.0,100,0
4,24,0.267,1.0,200,0
4,25,0.379,3.0,-200,0
4,26,0.397,1.0,200,0
4,27,0.359,1.0,200,0
4,28,2.0,,0,1
4,29,0.993,1.0,200,0
4,30,0.373,1.0,-1050,0
4,31,0.279,1.0,200,0
4,32,0.299,1.0,200,0
4,33,0.319,4.0,-100,0
4,34,0.293,1.0,200,0
4,35,0.334,1.0,200,0
4,36,0.611,1.0,-1050,0
4,37,0.238,1.0,200,0
4,38,0.369,1.0,200,0
4,39,0.372,1.0,200,0
4,40,0.421,2.0,100,0
4,41,0.326,1.0,200,0
4,42,0.275,1.0,-1050,0
4,43,0.373,1.0,200,0
4,44,0.447,1.0,200,0
4,45,0.37,1.0,200,0
4,46,0.307,1.0,200,0
4,47,0.406,1.0,-1050,0
4,48,0.421,1.0,200,0
4,49,0.296,1.0,200,0
4,50,0.264,1.0,200,0
4,51,1.04,1.0,200,0
4,52,0.435,1.0,200,0
4,53,0.299,1.0,200,0
4,54,0.235,1.0,200,0
4,55,0.451,2.0,100,0
4,56,0.332,1.0,-1050,0
4,57,0.442,1.0,200,0
4,58,0.278,1.0,200,0
4,59,0.389,1.0,200,0
4,60,0.477,1.0,200,0
4,61,0.535,1.0,-1050,0
4,62,0.753,1.0,200,0
4,63,0.266,1.0,200,0
4,64,0.342,1.0,200,0
4,65,0.507,2.0,100,0
4,66,0.477,2.0,100,0
4,67,0.387,2.0,100,0
4,68,0.319,1.0,200,0
4,69,0.403,1.0,-1050,0
4,70,0.359,1.0,200,0
4,71,0.247,1.0,200,0
4,72,0.281,1.0,200,0
4,73,0.564,2.0,-650,0
4,74,0.472,2.0,100,0
4,75,0.297,3.0,-200,0
4,76,0.61,4.0,-100,0
4,77,0.329,1.0,200,0
4,78,0.289,1.0,-1050,0
4,79,0.331,1.0,200,0
4,80,0.344,1.0,200,0
4,81,0.425,1.0,200,0
4,82,0.374,1.0,200,0
4,83,0.645,1.0,-1050,0
4,84,0.32,1.0,200,0
4,85,0.354,1.0,200,0
4,86,0.782,1.0,200,0
4,87,0.779,1.0,200,0
4,88,0.256,2.0,100,0
4,89,0.345,2.0,100,0
4,90,0.326,2.0,100,0
4,91,1.33,2.0,-650,0
4,92,0.309,1.0,-1050,0
4,93,0.245,1.0,200,0
4,94,0.355,1.0,200,0
4,95,0.412,1.0,200,0
4,96,0.362,1.0,200,0
4,97,0.624,1.0,-1050,0
4,98,0.435,1.0,200,0
4,99,0.391,1.0,200,0
4,100,0.703,1.0,200,0
5,1,0.873,1.0,200,0
5,2,0.282,2.0,100,0
5,3,0.457,2.0,100,0
5,4,0.302,1.0,200,0
5,5,0.286,1.0,200,0
5,6,0.248,1.0,200,0
5,7,0.35,1.0,-1050,0
5,8,0.729,1.0,200,0
5,9,0.3,1.0,200,0
5,10,0.35,1.0,200,0
5,11,0.304,2.0,100,0
5,12,0.306,2.0,100,0
5,13,0.305,2.0,-650,0
5,14,0.425,2.0,100,0
5,15,0.335,1.0,200,0
5,16,0.337,1.0,-1050,0
5,17,0.33,1.0,200,0
5,18,0.313,1.0,200,0
5,19,0.237,1.0,200,0
5,20,0.218,1.0,200,0
5,21,0.286,4.0,-100,0
5,22,0.36,2.0,100,0
5,23,0.276,1.0,-1050,0
5,24,0.332,1.0,200,0
5,25,0.462,1.0,200,0
5,26,0.31,1.0,200,0
5,27,0.309,1.0,200,0
5,28,0.278,1.0,-1050,0
5,29,0.332,1.0,200,0
5,30,0.296,1.0,200,0
5,31,0.277,1.0,200,0
5,32,0.466,1.0,200,0
5,33,0.273,2.0,100,0
5,34,0.288,2.0,100,0
5,35,0.387,2.0,-650,0
5,36,0.313,1.0,-1050,0
5,37,0.329,1.0,200,0
5,38,0.32,1.0,200,0
5,39,0.32,1.0,200,0
5,40,0.241,1.0,200,0
5,41,0.387,2.0,100,0
5,42,0.278,2.0,100,0
5,43,0.257,2.0,100,0
5,44,0.48,2.0,100,0
5,45,0.316,4.0,-100,0
5,46,0.341,4.0,-100,0
5,47,0.278,4.0,-100,0
5,48,0.347,4.0,650,0
5,49,2.0,,0,1
5,50,0.346,4.0,-100,0
5,51,1.75,1.0,200,0
5,52,0.339,1.0,200,0
5,53,0.271,1.0,200,0
5,54,0.255,1.0,200,0
5,55,0.229,2.0,100,0
5,56,0.323,2.0,100,0
5,57,0.358,2.0,100,0
5,58,0.365,2.0,100,0
5,59,0.433,4.0,-100,0
5,60,0.337,4.0,-100,0
5,61,0.406,4.0,-100,0
5,62,0.411,4.0,-100,0
5,63,0.422,4.0,650,0
5,64,0.672,4.0,-100,0
5,65,0.322,4.0,-100,0
5,66,0.337,4.0,-100,0
5,67,0.311,4.0,-100,0
5,68,0.627,4.0,650,0
5,69,0.36,4.0,-100,0
5,70,0.258,4.0,-100,0
5,71,0.313,4.0,-100,0
5,72,0.312,4.0,-100,0
5,73,0.299,4.0,650,0
5,74,0.318,4.0,-100,0
5,75,0.329,4.0,-100,0
5,76,0.404,4.0,-100,0
5,77,0.326,4.0,-100,0
5,78,0.266,4.0,650,0
5,79,0.346,4.0,-100,0
5,80,0.466,4.0,-100,0
5,81,0.295,4.0,-100,0
5,82,0.293,4.0,-100,0
5,83,0.26,4.0,650,0
5,84,0.8,4.0,-100,0
5,85,1.52,3.0,-200,0
5,86,0.368,3.0,-200,0
5,87,0.335,3.0,-200,0
5,88,0.329,3.0,-200,0
5,89,0.292,3.0,1050,0
5,90,1.22,3.0,-200,0
5,91,0.478,3.0,-200,0
5,92,0.363,3.0,-200,0
5,93,0.438,3.0,-200,0
5,94,0.759,3.0,1050,0
5,95,2.0,,0,1
5,96,0.488,4.0,-100,0
5,97,0.241,4.0,-100,0
5,98,0.275,4.0,-100,0
5,99,0.579,4.0,650,0
5,100,0.442,3.0,-200,0
6,1,1.31,1.0,200,0
6,2,1.5,1.0,200,0
6,3,0.875,1.0,200,0
6,4,1.51,4.0,-100,0
6,5,0.21,1.0,200,0
6,6,0.658,1.0,-1050,0
6,7,0.936,2.0,100,0
6,8,0.116,2.0,100,0
6,9,0.416,2.0,100,0
6,10,0.252,2.0,100,0
6,11,0.432,3.0,-200,0
6,12,0.312,2.0,-650,0
6,13,0.683,1.0,200,0
6,14,0.387,1.0,200,0
6,15,0.253,1.0,200,0
6,16,0.234,1.0,200,0
6,17,0.29,1.0,-1050,0
6,18,2.0,,0,1
6,19,0.64,1.0,200,0
6,20,0.253,1.0,200,0
6,21,0.309,1.0,200,0
6,22,0.3,1.0,200,0
6,23,0.312,2.0,100,0
6,24,0.313,2.0,100,0
6,25,0.237,2.0,100,0
6,26,0.219,2.0,100,0
6,27,2.0,,0,1
6,28,0.318,1.0,-1050,0
6,29,0.422,2.0,-650,0
6,30,0.719,3.0,-200,0
6,31,0.294,1.0,200,0
6,32,0.289,1.0,200,0
6,33,0.643,1.0,200,0
6,34,0.341,1.0,200,0
6,35,0.293,2.0,100,0
6,36,0.257,2.0,100,0
6,37,0.349,2.0,100,0
6,38,0.343,2.0,100,0
6,39,1.11,3.0,-200,0
6,40,2.0,,0,1
6,41,0.305,1.0,-1050,0
6,42,1.25,4.0,-100,0
6,43,0.709,1.0,200,0
6,44,0.533,1.0,200,0
6,45,0.318,1.0,200,0
6,46,0.303,1.0,200,0
6,47,0.304,1.0,-1050,0
6,48,0.476,1.0,200,0
6,49,0.344,1.0,200,0
6,50,0.239,1.0,200,0
6,51,0.711,1.0,200,0
6,52,0.368,1.0,200,0
6,53,0.375,2.0,100,0
6,54,0.296,2.0,100,0
6,55,0.265,2.0,100,0
6,56,0.324,2.0,100,0
6,57,0.44,2.0,-650,0
6,58,0.497,1.0,200,0
6,59,0.692,1.0,200,0
6,60,0.274,2.0,100,0
6,61,0.303,2.0,100,0
6,62,0.352,2.0,100,0
6,63,0.266,2.0,100,0
6,64,0.354,2.0,-650,0
6,65,0.344,1.0,-1050,0
6,66,0.306,1.0,200,0
6,67,2.0,,0,1
6,68,0.332,1.0,200,0
6,69,0.275,1.0,200,0
6,70,0.599,1.0,200,0
6,71,0.284,1.0,-1050,0
6,72,0.613,2.0,100,0
6,73,0.364,1.0,200,0
6,74,0.288,1.0,200,0
6,75,0.537,2.0,100,0
6,76,0.429,1.0,200,0
6,77,0.821,1.0,200,0
6,78,0.35,1.0,-1050,0
6,79,0.309,2.0,100,0
6,80,0.261,1.0,200,0
6,81,0.266,2.0,100,0
6,82,0.412,1.0,200,0
6,83,0.262,2.0,-650,0
6,84,0.707,1.0,200,0
6,85,0.367,1.0,200,0
6,86,0.273,1.0,-1050,0
6,87,0.437,4.0,-100,0
6,88,0.524,3.0,-200,0
6,89,0.645,2.0,100,0
6,90,0.4,1.0,200,0
6,91,0.413,1.0,200,0
6,92,0.32,2.0,100,0
6,93,0.306,1.0,200,0
6,94,0.353,1.0,200,0
6,95,0.255,1.0,-1050,0
6,96,0.382,1.0,200,0
6,97,0.28,1.0,200,0
6,98,0.277,2.0,100,0
6,99,0.35,2.0,100,0
6,100,0.302,1.0,200,0
7,1,2.0,,0,1
7,2,0.558,2.0,100,0
7,3,0.429,3.0,-200,0
7,4,0.328,2.0,100,0
7,5,1.07,1.0,200,0
7,6,0.389,4.0,-100,0
7,7,0.281,1.0,200,0
7,8,0.259,1.0,200,0
7,9,1.89,1.0,200,0
7,10,0.424,2.0,100,0
7,11,0.325,2.0,100,0
7,12,0.365,2.0,-650,0
7,13,0.292,1.0,-1050,0
7,14,0.839,2.0,100,0
7,15,0.694,3.0,-200,0
7,16,0.34,4.0,-100,0
7,17,0.252,2.0,100,0
7,18,0.327,2.0,100,0
7,19,0.24,2.0,100,0
7,20,0.253,1.0,200,0
7,21,0.254,1.0,200,0
7,22,0.263,1.0,200,0
7,23,0.428,1.0,200,0
7,24,0.286,1.0,-1050,0
7,25,0.572,2.0,-650,0
7,26,0.364,3.0,-200,0
7,27,0.353,4.0,-100,0
7,28,0.285,2.0,100,0
7,29,0.263,1.0,200,0
7,30,0.297,1.0,200,0
7,31,0.23,1.0,200,0
7,32,0.589,1.0,200,0
7,33,0.277,1.0,-1050,0
7,34,0.27,2.0,100,0
7,35,0.347,2.0,100,0
7,36,0.283,1.0,200,0
7,37,0.592,1.0,200,0
7,38,0.332,1.0,200,0
7,39,0.281,2.0,100,0
7,40,0.315,2.0,-650,0
7,41,0.337,1.0,200,0
7,42,0.223,1.0,-1050,0
7,43,0.234,1.0,200,0
7,44,0.651,2.0,100,0
7,45,0.316,2.0,100,0
7,46,0.359,2.0,100,0
7,47,0.256,2.0,100,0
7,48,0.628,2.0,-650,0
7,49,0.95,1.0,200,0
7,50,0.367,1.0,200,0
7,51,1.66,2.0,100,0
7,52,0.43,2.0,100,0
7,53,0.338,2.0,100,0
7,54,0.259,2.0,100,0
7,55,0.229,1.0,200,0
7,56,0.278,2.0,-650,0
7,57,1.06,1.0,200,0
7,58,0.321,1.0,200,0
7,59,0.301,2.0,100,0
7,60,0.325,2.0,100,0
7,61,0.366,2.0,100,0
7,62,0.255,3.0,-200,0
7,63,0.491,1.0,200,0
7,64,0.387,1.0,-1050,0
7,65,0.318,2.0,100,0
7,66,1.22,2.0,-650,0
7,67,0.673,4.0,-100,0
7,68,0.304,1.0,200,0
7,69,1.78,1.0,200,0
7,70,0.283,1.0,200,0
7,71,0.422,1.0,200,0
7,72,0.32,3.0,-200,0
7,73,0.238,1.0,-1050,0
7,74,0.324,2.0,100,0
7,75,0.315,2.0,100,0
7,76,0.41,2.0,100,0
7,77,0.417,2.0,100,0
7,78,0.609,2.0,-650,0
7,79,0.496,2.0,100,0
7,80,0.334,1.0,200,0
7,81,0.529,1.0,200,0
7,82,0.34,2.0,100,0
7,83,0.842,2.0,100,0
7,84,0.462,1.0,200,0
7,85,0.277,2.0,100,0
