participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC,Condition
23,161.16439058173324,"[3.5665885120123404, 0.04591200575043887]",[0.11991323 0.03353536],161.16439058173324,326.3287811634665,333.371702999191,LV
24,73.55691192607212,"[2.991050709598962, 0.4628351107592838]",[1.54292682 0.30287964],73.55691192607212,151.11382385214424,158.15674568786872,LV
25,113.48466947629451,"[0.9207888500005375, 0.2769922505984428]",[0.43266761 0.0856937 ],113.48466947629451,230.96933895258903,238.0122607883135,LV
26,92.156342970233,"[1.088919889400442, 0.5921628398231618]",[0.59249478 0.10176567],92.156342970233,188.312685940466,195.35560777619048,LV
27,42.8192571995259,"[0.3354668371372154, 0.6062230262734914]",[1.18398313 0.13588983],42.8192571995259,89.6385143990518,96.6814362347763,LV
28,98.67521451346596,"[4.0494173139423415, 0.7986482013394538]",[0.16848339 0.01862282],98.67521451346596,201.35042902693192,208.3933508626564,LV
29,18.71497387511852,"[4.721497720498136, 0.1285838057147028]",[4.72149772 0.12858381],18.71497387511852,41.42994775023704,48.472869585961526,LV
30,68.94596217944091,"[0.8442813434741209, 0.913583260214912]",[0.84033089 0.12009623],68.94596217944091,141.89192435888182,148.9348461946063,LV
31,120.70461186504744,"[1.6910776887224785, 0.3349064241684459]",[0.1425264  0.01948094],120.70461186504744,245.40922373009488,252.45214556581936,LV
32,68.10296781226404,"[1.7656493061967196, 0.6846386843413554]",[0.62259211 0.08551065],68.10296781226404,140.20593562452808,147.24885746025257,LV
33,80.93526187190714,"[1.0125154163646624, 0.9134241043740684]",[1.73407221 0.36323803],80.93526187190714,165.8705237438143,172.91344557953877,LV
34,70.8640388332449,"[0.4507956120062626, 0.13814414977980458]",[1.31910257 0.25445574],70.8640388332449,145.7280776664898,152.7709995022143,LV
35,78.64256162078671,"[0.11847754182012031, 0.7377240872764319]",[0.89549582 0.15727283],78.64256162078671,161.28512324157342,168.3280450772979,LV
36,64.70054501651741,"[4.677417411992413, 0.3182453018836144]",[1.41671286 0.23105745],64.70054501651741,133.40109003303482,140.4440118687593,LV
37,36.19555542728863,"[3.1447090157821873, 0.4875913524957777]",[0.62996022 0.05029642],36.19555542728863,76.39111085457725,83.43403269030173,LV
38,80.57663973760353,"[0.6780435133978194, 0.04183732880075827]",[0.55035786 0.08049055],80.57663973760353,165.15327947520706,172.19620131093154,LV
39,137.12850091581043,"[3.531996828844346, 0.9501721686062831]",[0.60026512 0.11767899],137.12850091581043,278.25700183162087,285.2999236673453,LV
40,92.7704192887666,"[2.199423207160196, 0.188410529732795]",[0.45437838 0.07150828],92.7704192887666,189.5408385775332,196.5837604132577,LV
41,65.50960434663587,"[4.204645239420048, 0.8575579316305488]",[1.31766802 0.22835751],65.50960434663587,135.01920869327174,142.06213052899622,LV
42,75.81876266386591,"[1.3995756097258074, 0.7955133452291565]",[1.26479748 0.23605101],75.81876266386591,155.63752532773182,162.6804471634563,LV
43,45.309668105830696,"[0.8860523180834482, 0.4922884149954907]",[1.53135015 0.22114935],45.309668105830696,94.6193362116614,101.66225804738588,LV
44,76.34856962905883,"[0.16645562759532162, 0.6016790718795544]",[2.01124238 0.4358198 ],76.34856962905883,156.69713925811766,163.74006109384214,LV
